References,Quantity Per PCB,Value,Footprint,MPN,Description
D1,1,Red,D_0603,,-40°C~+85°C Red 0603 LED Indication - Discrete ROHS
J1,1,"Connector, USB-TYPE-C-16P",TYPE-C-SMD_HX-TYPE-C-16PIN,,3A 1 Horizontal attachment 16P Female -25℃~+85℃ Type-C SMD USB Connectors ROHS
R1,1,1kΩ,R_0805,,125mW Thick Film Resistors 150V ±100ppm/°C ±1% 1kΩ 0805 Chip Resistor - Surface Mount ROHS
R2 R3,2,5.1kΩ,R_0805,,125mW Thick Film Resistors 150V ±100ppm/°C ±1% 5.1kΩ 0805 Chip Resistor - Surface Mount ROHS





Project info:
Schematic:,pcb_1
Variant:,default
Revision:,
Date:,2026-04-03_12-39-21
KiCad Version:,9.0.7+1
Statistics:
Component Groups:,4
Component Count:,5
Fitted Components:,5
Number of PCBs:,1
Total Components:,5
